pname,pdesc,Upc,Sku,Price,Uom,Pack,pcat,pcat1,pcat2,country,region
BLACK VELVET WHISKEY                                        ,BLACK VELVET WHISKEY,096749003044   ,12912,16.99,1.75 ,1,BLENDED SCOTCH           , , , , 
COPA DE ORO COFFEE LIQUEUR                                  ,COPA DE ORO COFFEE LIQUEUR,096749003204   ,12913,12.99,750 M,1,LIQUEUR                  , , , , 
BLACK VELVET - APPLE                                        ,BLACK VELVET - APPLE,096749003440   ,12914,1,50 ml,1,NIPS                     , , , , 
BLACK VELVET APPLE                                          ,BLACK VELVET APPLE,096749003464   ,12916,19.99,1.75 ,1,CANADIAN WHISKEY         , , , , 
COPA DE ORO COFFE LIQUEUR                                   ,COPA DE ORO COFFE LIQUEUR,096749003471   ,12917,24.99,1.75 ,1,LIQUEUR                  , , , , 
FULTON'S HARVEST PUMPKIN PIE                                ,FULTON'S HARVEST PUMPKIN PIE,096749003693   ,12918,11.99,750 M,1,CORDIALS                 , , , , 
EVAN WILLIAMS                                               ,EVAN WILLIAMS,096749021147   ,12919,24.99,1.75 ,1,BOURBON WHISKEY          , , , , 
EVAN WILLIAMS                                               ,EVAN WILLIAMS,096749021345   ,12921,12.99,750 M,1,BOURBON WHISKEY          , , , , 
EVAN WILLIAMS 100 PROOF                                     ,EVAN WILLIAMS 100 PROOF,096749021376   ,12922,17.99,750 M,1,BOURBON WHISKEY          , , , , 
EVAN WILLIANS HONEY                                         ,EVAN WILLIANS HONEY,096749021796   ,12924,1,50 ML,1,NIPS                     , , , , 
EVAN WILLIAMS BOURBON                                       ,EVAN WILLIAMS BOURBON,096749021840   ,12926,1,50 ML,1,NIPS                     , , , , 
EVAN WILLIAMS HONEY                                         ,EVAN WILLIAMS HONEY,096749021871   ,12927,26.99,1.75 ,1,BOURBON WHISKEY          , , , , 
LARCENY                                                     ,LARCENY,096749031559   ,12928,29.99,750 M,1,BOURBON WHISKEY          , , , , 
ADMIRAL NELSON SPICED RUM                                   ,ADMIRAL NELSON SPICED RUM,096749086269   ,12930,19.99,1.75 ,1,RUM                      , , , , 
ADMIRAL NELSON 70                                           ,ADMIRAL NELSON 70,096749086276   ,12931,1,50 ML,1,NIPS                     , , , , 
ADMIRAL NELSON'S SPICED RUM                                 ,ADMIRAL NELSON'S SPICED RUM,096749086306   ,12932,3.69,200 M,1,PINTS                    , , , , 
ADMIRAL NELSON'S SPICED RUM                                 ,ADMIRAL NELSON'S SPICED RUM,096749086313   ,12933,6.49,375 M,1,PINTS                    , , , , 
ADMIRAL NELSON 101                                          ,ADMIRAL NELSON 101,096749086511   ,12934,23.99,1.75 ,1,RUM                      , , , , 
ADMIRAL NELSON 101                                          ,ADMIRAL NELSON 101,096749086535   ,12935,10.97,750 M,1,RUM                      , , , , 
DUBONNET RED                                                ,DUBONNET RED,096749401406   ,12938,15.99,1 LT ,1,DOMESTIC                 , , , , 
ELIJAH CRAIG SMALL BATCH                                    ,ELIJAH CRAIG SMALL BATCH,09674947       ,12939,2.99,50 ML,1,NIPS                     , , , , 
ELIJAH CRAIG - BARREL PROOF                                 ,ELIJAH CRAIG - BARREL PROOF,096749472215   ,12940,89.99,750 M,1,BOURBON WHISKEY          , , , , 
PAMA POMEGRANATE LIQUEUR                                    ,PAMA POMEGRANATE LIQUEUR,096749940332   ,12941,24.99,750 M,1,LIQUEUR                  , , , , 
BLUNTEFFECTS INCENSE                                        ,BLUNTEFFECTS INCENSE,097868127390   ,12942,1.49,EACH ,1,GENERAL ITEMS            , , , , 
MENAGE A TROIS VODKA & FLAVORS                              ,MENAGE A TROIS VODKA & FLAVORS,099988071256   ,12951,12.97,750 M,1,VODKA                    , , , , 
MENAGE A TROIS - PROSECCO                                   ,MENAGE A TROIS - PROSECCO,099988071300   ,12953,11.99,750 M,1,IMPORTED - ITALY         , , , , 
MENAGE A TROIS SILK                                         ,MENAGE A TROIS SILK,099988071362   ,12954,11.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
MENAGE A TROIS - DECADENCE                                  ,MENAGE A TROIS - DECADENCE,099988071416   ,12956,11.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
CALLIA - PINOT GRIGIO                                       ,CALLIA - PINOT GRIGIO,086785750316   ,12961,8.97,750 M,1,IMPORTED - ARGENTINA     , , , , 
CALLIA - BELLA                                              ,CALLIA - BELLA,086785750613   ,12962,8.97,750 M,1,IMPORTED - ARGENTINA     , , , , 
MONTE DEL LAGO - PINOT GRIGIO                               ,MONTE DEL LAGO - PINOT GRIGIO,086785990057   ,12963,7.99,750 M,1,IMPORTED - ITALY         , , , , 
YEALANDS - SAUV BLANC                                       ,YEALANDS - SAUV BLANC,010730300000   ,12968,12.97,750 M,1,IMPORTED - NEW ZEALAND   , , , , 
FLOR DE OLIVA- MADURO                                       ,FLOR DE OLIVA- MADURO,010772200000   ,12980,85,EACH ,1,HUMIDOR CIGAR            , , , , 
VERMONT BEER - VERD IPA                                     ,VERMONT BEER - VERD IPA,010783000000   ,12982,17.99,16 OZ,1,CRAFT / MICRO            , , , , 
VODKYTE VARIETY                                             ,VODKYTE VARIETY,010787100000   ,12983,32.99,12 OZ,1,RTD COCKTAILS            , , , , 
GOOSE ISLAND - TROPICAL BEER HUG                            ,GOOSE ISLAND - TROPICAL BEER HUG,010794900000   ,12986,33.99,19.2 ,1,CRAFT / MICRO            , , , , 
RED SPOT IRISH WHISKEY                                      ,RED SPOT IRISH WHISKEY,010802300000   ,12987,179.99,750 M,1,IRISH WHISKEY            , , , , 
PB & W - PEANUT BUTTER WHIS                                 ,PB & W - PEANUT BUTTER WHIS,852045007328   ,12988,1.25,50 ML,1,NIPS                     , , , , 
M & R EXTRA DRY VERMOUTH                                    ,M & R EXTRA DRY VERMOUTH,011034420078   ,12989,6.99,375 M,1,PINTS                    , , , , 
SKREWBALL - PEANUT BUTTER WHIS                              ,SKREWBALL - PEANUT BUTTER WHIS,860265002429   ,12990,3.25,50 ML,1,NIPS                     , , , , 
CAMEL - BLUE BX                                             ,CAMEL - BLUE BX,123043         ,12991,13.2,PK   ,1,CIG TOB                  , , , , 
WINSTON - RED BX                                            ,WINSTON - RED BX,123123         ,12992,11.79,PK   ,1,CIG TOB                  , , , , 
WINSTON - LT BOX                                            ,WINSTON - LT BOX,123193         ,12993,11.79,PK   ,1,CIG TOB                  , , , , 
LIME/LEMON                                                  ,LIME/LEMON,1234           ,12994,1,EACH ,1,JUICE                    , , , , 
WINSTON - LT 100 BX                                         ,WINSTON - LT 100 BX,123593         ,12995,11.79,PK   ,1,CIG TOB                  , , , , 
PERONI AZZURO                                               ,PERONI AZZURO,181954000046   ,12997,19.39,12 OZ,1,IMPORTED                 , , , , 
CLEMENT CREOLE SHRUBB                                       ,CLEMENT CREOLE SHRUBB,182972000025   ,12998,39.99,750 M,1,LIQUEUR                  , , , , 
DR LOOSEN RIESLING                                          ,DR LOOSEN RIESLING,183103000013   ,12999,16.99,750 M,1,IMPORTED - GERMANY       , , , , 
42 BELOW VODKA                                              ,42 BELOW VODKA,184348000011   ,13001,21.99,750 M,1,VODKA                    , , , , 
COLLECTIVE ARTS - FORECAST MIMOSA                           ,COLLECTIVE ARTS - FORECAST MIMOSA,186360051897   ,13007,14.79,12 OZ,1,CRAFT / MICRO            , , , , 
818 - REPOSADO                                              ,818 - REPOSADO,195893031092   ,13011,49.99,750 M,1,TEQUILA                  , , , , 
818 - BLANCO                                                ,818 - BLANCO,195893687015   ,13013,39.99,750 M,1,TEQUILA                  , , , , 
YELLOW TAIL - SHIRAZ                                        ,YELLOW TAIL - SHIRAZ,259008943      ,13016,7.99,750 M,1,IMPORTED - AUSTRALIA     , , , , 
MAVERICK - RED 100 BX                                       ,MAVERICK - RED 100 BX,261531         ,13017,10.33,PK   ,1,CIG TOB                  , , , , 
MAVERICK - LT 100 BX                                        ,MAVERICK - LT 100 BX,261551         ,13018,10.33,PK   ,1,CIG TOB                  , , , , 
MAVERICK - RED BX                                           ,MAVERICK - RED BX,268741         ,13019,10.33,PK   ,1,CIG TOB                  , , , , 
MAVERICK - LT BX                                            ,MAVERICK - LT BX,268841         ,13020,10.33,PK   ,1,CIG TOB                  , , , , 
MARLBORO - GOLD BX                                          ,MARLBORO - GOLD BX,283782         ,13021,12.9,PK   ,1,CIG TOB                  , , , , 
APOTHIC - RED                                               ,APOTHIC - RED,085000017746   ,13022,10.98,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
REMY MARTIN VSOP                                            ,REMY MARTIN VSOP,3024482270123  ,13024,59.99,750 M,1,COGNAC                   , , , , 
VEUVE CLICQUOT BRUT                                         ,VEUVE CLICQUOT BRUT,3049614083891  ,13025,79.99,750 M,1,IMPORTED - FRANCE        , , , , 
TUMS ORIGINAL                                               ,TUMS ORIGINAL,307667388084   ,13026,2.29,EACH ,1,SNACKS                   , , , , 
PERRIER JOUET GRAND BRUT                                    ,PERRIER JOUET GRAND BRUT,3113880583819  ,13027,59.97,750 M,1,IMPORTED - FRANCE        , , , , 
HALLS CHERRY LYPTUS                                         ,HALLS CHERRY LYPTUS,312546627710   ,13028,1.99,EACH ,1,CANDY/MINTS              , , , , 
HALLS HONEY LEMON STICKS                                    ,HALLS HONEY LEMON STICKS,312546628724   ,13029,2.25,EACH ,1,CANDY/MINTS              , , , , 
HALLS BLUE                                                  ,HALLS BLUE,312546629707   ,13030,2.25,EACH ,1,SNACKS                   , , , , 
MOET IMPERIAL BRUT                                          ,MOET IMPERIAL BRUT,3185370001233  ,13032,64.99,750 M,1,CHAMPAGNE                , , , , 
DOMAIN LA BOUVAUDE COTES DE RH                              ,DOMAIN LA BOUVAUDE COTES DE RH,350629003143   ,13039,8.99,750 M,1,IMPORTED - FRANCE        , , , , 
KRIS PINOT GRIGIO                                           ,KRIS PINOT GRIGIO,36206          ,13042,11.97,750 M,1,IMPORTED - ITALY         , , , , 
SANRENXUAN BAIJIU                                           ,SANRENXUAN BAIJIU,38496242708005 ,13048,39.99,1 LT ,1,LIQUEUR                  , , , , 
SNICKERS REGULAR                                            ,SNICKERS REGULAR,401020         ,13052,2.39,EACH ,1,SNACKS                   , , , , 
KHORTYTSA ICE VODKA                                         ,KHORTYTSA ICE VODKA,4820163120157  ,13056,15.99,750 M,1,VODKA                    , , , , 
NIKKA - YOCHI                                               ,NIKKA - YOCHI,4904230044574  ,13059,99.99,750 M,1,ASIAN WHISKEY            , , , , 
NIKKA - BARREL                                              ,NIKKA - BARREL,4904230049739  ,13060,74.99,750 M,1,ASIAN WHISKEY            , , , , 
NIKKA - DAYS                                                ,NIKKA - DAYS,4904230057642  ,13061,54.99,750 M,1,ASIAN WHISKEY            , , , , 
BAREFOOT PINOT GRIGIO                                       ,BAREFOOT PINOT GRIGIO,5000014431     ,13063,11.99,1.5 L,1,FAMILY WINE              , , , , 
BAREFOOT MOSCATO                                            ,BAREFOOT MOSCATO,50000166       ,13064,7.49,750 M,1,FAMILY WINE              , , , , 
JAMESON 18 YR OLD LIMITED RESE                              ,JAMESON 18 YR OLD LIMITED RESE,5011007015381  ,13065,149.99,750 M,1,IRISH WHISKEY            , , , , 
BLACKWELL JAMAICAN RUM                                      ,BLACKWELL JAMAICAN RUM,5060741980004  ,13068,34.99,750 M,1,RUM                      , , , , 
COCALERO CLASSICO - HERBAL SPIRIT                           ,COCALERO CLASSICO - HERBAL SPIRIT,5391532440125  ,13069,24.99,750 M,1,LIQUEUR                  , , , , 
G'S SPECIAL                                                 ,G'S SPECIAL,5393800000     ,13070,12.25,PK   ,1,CIG TOB                  , , , , 
BUD LIGHT ALUMINUM 12PK                                     ,BUD LIGHT ALUMINUM 12PK,6024300000     ,13074,19.39,16 OZ,24,DOMESTIC BEER            , , , , 
RISING TIDE - OKTOBERFEST                                   ,RISING TIDE - OKTOBERFEST,602573122235   ,13075,14.99,16 OZ,1,CRAFT / MICRO            , , , , 
EXHIBIT A - CAT'S MEOW                                      ,EXHIBIT A - CAT'S MEOW,602938319140   ,13079,18.79,16 OZ,1,CRAFT / MICRO            , , , , 
ALLAGASH WHITE CN                                           ,ALLAGASH WHITE CN,603675101777   ,13082,14.79,16 OZ,1,CRAFT / MICRO            , , , , 
ALLAGASH WHITE BTL                                          ,ALLAGASH WHITE BTL,603675101883   ,13083,13.99,12 OZ,1,CRAFT / MICRO            , , , , 
NASHOBA CRANBERRY APPLE WINE                                ,NASHOBA CRANBERRY APPLE WINE,606100103025   ,13091,16.99,750 M,1,DOMESTIC                 , , , , 
REMY MARTIN VSOP                                            ,REMY MARTIN VSOP,6087236001131  ,13098,17.99,200 M,1,HALF PINTS               , , , , 
WORMTOWN BE HOPPY CN                                        ,WORMTOWN BE HOPPY CN,608866302971   ,13099,14.29,16 OZ,1,CRAFT / MICRO            , , , , 
MICHELOB ULTRA CN                                           ,MICHELOB ULTRA CN,6094900000     ,13100,28.49,12 OZ,30,30 PACK BEER             , , , , 
ROCK N ROLL - FRONTO CIGAR                                  ,ROCK N ROLL - FRONTO CIGAR,609613219801   ,13101,4.99,PK   ,1,TOBACCO                  , , , , 
MAYFAIR                                                     ,MAYFAIR,609722602389   ,13104,32.99,750 M,1,VODKA                    , , , , 
REDEMPTION HIGH RYE                                         ,REDEMPTION HIGH RYE,609722977586   ,13105,24.99,750 M,1,BOURBON WHISKEY          , , , , 
DUTCHCRAFT VODKA                                            ,DUTCHCRAFT VODKA,610563099085   ,13107,1,50 ML,1,NIPS                     , , , , 
DUTCHCRAFT VODKA                                            ,DUTCHCRAFT VODKA,610563099092   ,13108,4.99,200 M,1,HALF PINTS               , , , , 
REDBULL SUGARFREE                                           ,REDBULL SUGARFREE,611269101713   ,13114,2.79,8  OZ,1,ENERGY DRINKS            , , , , 
REDBULL                                                     ,REDBULL,611269991000   ,13115,2.79,8  OZ,1,ENERGY DRINKS            , , , , 
REDBULL                                                     ,REDBULL,611269818994   ,13117,3.99,12 OZ,1,ENERGY DRINKS            , , , , 
FLOR DE CRASTO DOURO                                        ,FLOR DE CRASTO DOURO,611482042138   ,13118,8.99,750 M,1,IMPORTED - PORTUGAL      , , , , 
ARNOLD PALMER SPIKED                                        ,ARNOLD PALMER SPIKED,613008748296   ,13120,3.7,24 OZ,1,HARD SELTZER             , , , , 
ARNOLD PALMER - H & H SPIKED                                ,ARNOLD PALMER - H & H SPIKED,613008752200   ,13121,17.99,12 OZ,1,MALT BEVERAGE            , , , , 
NEW HOLLAND - DRAGON'S MILK STOUT                           ,NEW HOLLAND - DRAGON'S MILK STOUT,614036124113   ,13126,19.79,12 OZ,1,CRAFT / MICRO            , , , , 
FABRIZIA - BLOOD ORANGE                                     ,FABRIZIA - BLOOD ORANGE,617401004607   ,13140,19.99,750 M,1,LIQUEUR                  , , , , 
SVEDKA                                                      ,SVEDKA,617768111178   ,13142,17.97,1.75 ,1,VODKA                    , , , , 
SVEDKA VODKA                                                ,SVEDKA VODKA,617768112007   ,13144,5.49,200 M,1,HALF PINTS               , , , , 
SVEDKA STRAWBERRY LEMONADE                                  ,SVEDKA STRAWBERRY LEMONADE,617768141175   ,13150,17.99,1.75 ,1,VODKA                    , , , , 
SVEDKA MANGO PINEAPPLE                                      ,SVEDKA MANGO PINEAPPLE,617768151174   ,13153,17.99,1.75 ,1,VODKA                    , , , , 
SVEDKA - GRAPE. F. JALAPENO                                 ,SVEDKA - GRAPE. F. JALAPENO,617768181171   ,13159,17.99,1.75 ,1,VODKA                    , , , , 
SVEDKA GRAPE. F. JALAPENO                                   ,SVEDKA GRAPE. F. JALAPENO,617768181751   ,13160,13.99,750 M,1,VODKA                    , , , , 
SVEDKA BLUE RASPBERRY                                       ,SVEDKA BLUE RASPBERRY,617768201176   ,13162,17.99,1.75 ,1,VODKA                    , , , , 
SPIRITFRUIT - GRAPEFRUIT                                    ,SPIRITFRUIT - GRAPEFRUIT,619264996914   ,13166,19.99,12 OZ,1,PRE MIXED DRINKS         , , , , 
TITO'S VODKA                                                ,TITO'S VODKA,619947000013   ,13169,26.97,1 LT ,1,VODKA                    , , , , 
TITO'S VODKA                                                ,TITO'S VODKA,619947000020   ,13170,22.97,750 M,1,VODKA                    , , , , 
TITO'S VODKA                                                ,TITO'S VODKA,619947000037   ,13171,29.97,1.75 ,1,VODKA                    , , , , 
TITO'S VODKA                                                ,TITO'S VODKA,619947000044   ,13172,7.99,200 M,1,VODKA                    , , , , 
TITO'S VODKA                                                ,TITO'S VODKA,619947000051   ,13173,12.99,375 M,1,VODKA                    , , , , 
TITOS VODKA                                                 ,TITOS VODKA,619947000068   ,13174,2,50 ML,1,VODKA                    , , , , 
MSE - HARD STEEL 400K                                       ,MSE - HARD STEEL 400K,6203202956371  ,13175,6.99,EACH ,1,GENERAL ITEMS            , , , , 
FOSTER PREMIUM ALE                                          ,FOSTER PREMIUM ALE,6213000000     ,13176,31.99,25 OZ,1,IMPORTED                 , , , , 
VICTORY - GOLDEN MONKEY                                     ,VICTORY - GOLDEN MONKEY,630279465066   ,13184,14.99,12 OZ,1,CRAFT / MICRO            , , , , 
VICTORY - GOLDEN MONKEY                                     ,VICTORY - GOLDEN MONKEY,630279465554   ,13185,39.25,19.2 ,1,CRAFT / MICRO            , , , , 
SWEET WATER - VARIETY PACK                                  ,SWEET WATER - VARIETY PACK,631234400047   ,13192,15.99,12 OZ,1,CRAFT / MICRO            , , , , 
SWEET WATER - HOP HASH EASY IP                              ,SWEET WATER - HOP HASH EASY IP,631234671126   ,13194,17.25,12 OZ,1,CRAFT / MICRO            , , , , 
SANTA MARGHERITA - PINOT GRIGI                              ,SANTA MARGHERITA - PINOT GRIGI,632987200205   ,13199,22.99,750 M,1,IMPORTED - ITALY         , , , , 
RUMHAVEN - COCONUT RUM                                      ,RUMHAVEN - COCONUT RUM,6333400000     ,13201,1,50 ML,1,NIPS                     , , , , 
VAN GOGH - ORANJE VODKA                                     ,VAN GOGH - ORANJE VODKA,633824151063   ,13203,24.99,1 LT ,1,VODKA                    , , , , 
VAN GOGH - CHOC VODKA                                       ,VAN GOGH - CHOC VODKA,633824151100   ,13204,34.99,750ml,1,VODKA                    , , , , 
WHITE CLAW - LIME                                           ,WHITE CLAW - LIME,635985025986   ,13215,11.69,12 OZ,1,HARD SELTZER             , , , , 
MIKE'S HARD RASPBERRY                                       ,MIKE'S HARD RASPBERRY,635985060642   ,13216,10.99,11.2 ,1,MALT BEVERAGE            , , , , 
MIKE'S HARD MANGO PUNCH                                     ,MIKE'S HARD MANGO PUNCH,635985060703   ,13217,10.99,11.2 ,1,MALT BEVERAGE            , , , , 
MIKE'S BLACK CHERRY LEMONADE                                ,MIKE'S BLACK CHERRY LEMONADE,635985067443   ,13218,10.99,11.2 ,1,MALT BEVERAGE            , , , , 
WHITE CLAW - MANGO                                          ,WHITE CLAW - MANGO,635985100331   ,13220,16.99,12 OZ,1,HARD SELTZER             , , , , 
MIKE'S HARD LEMONADE                                        ,MIKE'S HARD LEMONADE,635985100621   ,13221,10.99,11.2 ,1,MALT BEVERAGE            , , , , 
MIKE'S HARD LEMONADE                                        ,MIKE'S HARD LEMONADE,635985120018   ,13222,17.99,11.2 ,1,MALT BEVERAGE            , , , , 
MIKE'S VARIETY PACK                                         ,MIKE'S VARIETY PACK,635985129981   ,13223,17.99,11.2 ,1,MALT BEVERAGE            , , , , 
MIKE'S HARDER - BLK CHERRY                                  ,MIKE'S HARDER - BLK CHERRY,635985132158   ,13224,3.45,25 OZ,1,MALT BEVERAGE            , , , , 
MIKE'S HARD - SEASONAL LIMEADE                              ,MIKE'S HARD - SEASONAL LIMEADE,635985060741   ,13226,10.99,11.2 ,1,MALT BEVERAGE            , , , , 
MIKE'S HARDER LEMONADE                                      ,MIKE'S HARDER LEMONADE,635985245834   ,13227,3.45,25 OZ,1,MALT BEVERAGE            , , , , 
MIKE'S HARDER CRANBERRY LEMONA                              ,MIKE'S HARDER CRANBERRY LEMONA,635985249856   ,13228,3.45,25 OZ,1,MALT BEVERAGE            , , , , 
WHITE CLAW - BLK CH                                         ,WHITE CLAW - BLK CH,635985260387   ,13230,3.45,24 oz,1,HARD SELTZER             , , , , 
WHITE CLAW - MANGO                                          ,WHITE CLAW - MANGO,635985802136   ,13231,3.45,19.2 ,1,HARD SELTZER             , , , , 
WHITE CLAW - RASPBERRY                                      ,WHITE CLAW - RASPBERRY,635985260660   ,13233,11.69,12 OZ,1,HARD SELTZER             , , , , 
WHITE CLAW - BLACK CHERRY                                   ,WHITE CLAW - BLACK CHERRY,635985260899   ,13234,16.99,12 OZ,1,HARD SELTZER             , , , , 
WHITE CLAW - VARIETY #1                                     ,WHITE CLAW - VARIETY #1,635985548904   ,13235,16.99,12 OZ,1,HARD SELTZER             , , , , 
MIKE'S HARD CRANBERRY                                       ,MIKE'S HARD CRANBERRY,635985606116   ,13236,10.99,11.2 ,1,MALT BEVERAGE            , , , , 
WHITE CLAW - VARIETY #2                                     ,WHITE CLAW - VARIETY #2,635985800064   ,13237,16.99,12 OZ,1,HARD SELTZER             , , , , 
WHITE CLAW - VARIETY #3                                     ,WHITE CLAW - VARIETY #3,635985800262   ,13238,16.99,12 OZ,1,HARD SELTZER             , , , , 
WHITE CLAW REFRSHR - ICED TEA                               ,WHITE CLAW REFRSHR - ICED TEA,635985800293   ,13239,16.99,12 OZ,1,HARD SELTZER             , , , , 
WHITE CLAW - WATERMELON                                     ,WHITE CLAW - WATERMELON,635985800361   ,13240,16.99,12 OZ,1,HARD SELTZER             , , , , 
WHITE CLAW - VARIETY SURGE #1                               ,WHITE CLAW - VARIETY SURGE #1,635985800804   ,13241,16.99,12 OZ,1,HARD SELTZER             , , , , 
MIKE'S HARDER FREEZ SELTZER VARIETY PACK                    ,MIKE'S HARDER FREEZ SELTZER VARIETY PACK,635985800996   ,13242,17.99,12 OZ,1,MALT BEVERAGE            , , , , 
WHITE CLAW SURF - VARIETY #1                                ,WHITE CLAW SURF - VARIETY #1,635985801085   ,13243,16.99,12 OZ,1,HARD SELTZER             , , , , 
WHITE CLAW - REFRESHER LEMONADE                             ,WHITE CLAW - REFRESHER LEMONADE,635985801344   ,13244,16.99,12 OZ,1,HARD SELTZER             , , , , 
TROEGS - TROEGENATOR IPA                                    ,TROEGS - TROEGENATOR IPA,637704073025   ,13256,19.39,12 OZ,1,CRAFT / MICRO            , , , , 
TROEGS - THE MAD ELF                                        ,TROEGS - THE MAD ELF,637704200025   ,13259,17.99,12 OZ,1,CRAFT / MICRO            , , , , 
STELLA ROSA - MOSCATO D'ASTI                                ,STELLA ROSA - MOSCATO D'ASTI,6379700000     ,13262,10.97,750 M,1,IMPORTED - ITALY         , , , , 
DOGFISH HEAD - 90 MIN                                       ,DOGFISH HEAD - 90 MIN,638489000060   ,13271,3.45,20 OZ,1,CRAFT / MICRO            , , , , 
DOGFISH RTD - BAR CART VARIETY PACK                         ,DOGFISH RTD - BAR CART VARIETY PACK,638489000374   ,13274,25.99,12 OZ,1,RTD COCKTAILS            , , , , 
DOGFISH HEAD 60 MINUTE                                      ,DOGFISH HEAD 60 MINUTE,638489000558   ,13275,11.99,12 OZ,1,CRAFT / MICRO            , , , , 
DOGFISH HEAD - CRIM CRU                                     ,DOGFISH HEAD - CRIM CRU,638489001883   ,13283,15.99,12 OZ,1,CRAFT / MICRO            , , , , 
DOGFISH HEAD 90 MIN IPA                                     ,DOGFISH HEAD 90 MIN IPA,638489003122   ,13295,14.99,12 OZ,1,CRAFT / MICRO            , , , , 
AERONAUT - A YEAR WITH NANDU IPA                            ,AERONAUT - A YEAR WITH NANDU IPA,641022531549   ,13307,17.99,16 OZ,1,CRAFT / MICRO            , , , , 
MSE - TROJAN                                                ,MSE - TROJAN,641606755941   ,13314,6.99,EACH ,1,GENERAL ITEMS            , , , , 
FOUNDERS - PORTER                                           ,FOUNDERS - PORTER,642860300236   ,13317,12.69,12 OZ,1,CRAFT / MICRO            , , , , 
FOUNDERS - BREAKFAST STOUT                                  ,FOUNDERS - BREAKFAST STOUT,642860600527   ,13319,58.99,12 OZ,1,CRAFT / MICRO            , , , , 
FOUNDERS - ALL DAY IPA                                      ,FOUNDERS - ALL DAY IPA,642860900245   ,13323,19.24,12 OZ,1,CRAFT / MICRO            , , , , 
21+ NATURAL CIGAR - OLD MAN                                 ,21+ NATURAL CIGAR - OLD MAN,644824478753   ,13336,5.64,PK   ,1,TOBACCO                  , , , , 
MSE - MAGNUM PILLS                                          ,MSE - MAGNUM PILLS,645759993007   ,13337,5.99,EACH ,1,GENERAL ITEMS            , , , , 
AERONAUT - HOP HOP & AWAY                                   ,AERONAUT - HOP HOP & AWAY,647923996067   ,13338,17.99,16 OZ,1,CRAFT / MICRO            , , , , 
THE COPPER CAN MOSCOW MULE                                  ,THE COPPER CAN MOSCOW MULE,648676508415   ,13344,16.99,12 OZ,1,RTD COCKTAILS            , , , , 
GRAND MARNIER                                               ,GRAND MARNIER,649188900360   ,13346,3.99,50 ML,1,NIPS                     , , , , 
GRAND MARNIER                                               ,GRAND MARNIER,649188900377   ,13347,12.99,200 M,1,HALF PINTS               , , , , 
GRAND MARNIER                                               ,GRAND MARNIER,649188900469   ,13348,23.99,375 M,1,PINTS                    , , , , 
GRAND MARNIER                                               ,GRAND MARNIER,649188900476   ,13349,39.99,750 M,1,LIQUEUR                  , , , , 
GRAND MARNIER                                               ,GRAND MARNIER,649188900490   ,13350,64.99,1.75 ,1,LIQUEUR                  , , , , 
CHUM CHURUM - SOJU KOREAN                                   ,CHUM CHURUM - SOJU KOREAN,649241838838   ,13352,14.97,750 M,1,IMPORTED WINE            , , , , 
HOPE'S END - CAB SAUV BRANDY                                ,HOPE'S END - CAB SAUV BRANDY,650814000682   ,13361,6.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
DOM HOUCHART PROV ROSE                                      ,DOM HOUCHART PROV ROSE,652534000409   ,13364,16.99,750 M,1,IMPORTED - FRANCE        , , , , 
7 DEADLY ZINS -  ZINFANDEL                                  ,7 DEADLY ZINS -  ZINFANDEL,652935100012   ,13369,13.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
EARTHQUAKE CABERNET SAUVIGNON                               ,EARTHQUAKE CABERNET SAUVIGNON,652935100067   ,13370,29.97,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
EARTHQUAKE PETITE SIRAH                                     ,EARTHQUAKE PETITE SIRAH,652935100074   ,13371,23.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
FREAKSHOW - CABERNET SAUV                                   ,FREAKSHOW - CABERNET SAUV,652935100333   ,13372,22.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
CANNED HEAT - RIVER LINE                                    ,CANNED HEAT - RIVER LINE,655255846240   ,13378,21.79,16 OZ,1,CRAFT / MICRO            , , , , 
JEFFERSON'S RESERVE BOURBON WH                              ,JEFFERSON'S RESERVE BOURBON WH,655709000013   ,13379,64.97,750 M,1,BOURBON WHISKEY          , , , , 
JEFFERSONS BOURBON                                          ,JEFFERSONS BOURBON,655709000303   ,13380,35.99,750 M,1,BOURBON WHISKEY          , , , , 
V ONE VODKA                                                 ,V ONE VODKA,6582500000     ,13386,29.99,750 M,1,VODKA                    , , , , 
GRAPPI CHOCOLATE                                            ,GRAPPI CHOCOLATE,662263008089   ,13387,33.99,750 M,1,LIQUEUR                  , , , , 
JACK'S ABBY - FRAMINGHAMMER                                 ,JACK'S ABBY - FRAMINGHAMMER,662425065806   ,13390,13.95,500 M,1,CRAFT / MICRO            , , , , 
JACK'S ABBY VARIETY PACK                                    ,JACK'S ABBY VARIETY PACK,662425072965   ,13391,19.39,12 OZ,1,CRAFT / MICRO            , , , , 
JACK'S ABBY - HOPONIUS UNION                                ,JACK'S ABBY - HOPONIUS UNION,662425078608   ,13394,19.39,12 OZ,1,CRAFT / MICRO            , , , , 
